Year of Sentence,County,AMERICAN INDIAN/ALASKAN NATIVE,ASIAN/ASIAN AMERICAN,BLACK/AFRICAN AMERICAN,HAWAIIAN/PACIFIC ISLANDER,OTHER,WHITE
2009,"Alamance County, North Carolina",13,10,1372,0,124,1295
2009,"Alexander County, North Carolina",0,1,76,0,9,290
2009,"Alleghany County, North Carolina",4,0,10,0,16,126
2009,"Anson County, North Carolina",2,0,288,0,6,69
2009,"Ashe County, North Carolina",1,0,4,0,13,268
2009,"Avery County, North Carolina",1,0,12,0,3,192
2009,"Beaufort County, North Carolina",5,2,513,0,9,363
2009,"Bertie County, North Carolina",0,0,276,0,4,83
2009,"Bladen County, North Carolina",20,1,201,0,13,118
2009,"Brunswick County, North Carolina",17,0,287,0,28,782
2009,"Buncombe County, North Carolina",28,3,787,0,108,1848
2009,"Burke County, North Carolina",3,16,147,0,19,819
2009,"Cabarrus County, North Carolina",10,0,740,0,48,1078
2009,"Caldwell County, North Carolina",3,0,188,0,17,691
2009,"Camden County, North Carolina",0,0,16,0,1,19
2009,"Carteret County, North Carolina",6,0,179,0,14,623
2009,"Caswell County, North Carolina",0,0,104,0,4,95
2009,"Catawba County, North Carolina",2,8,457,0,35,864
2009,"Chatham County, North Carolina",0,0,177,0,50,224
2009,"Cherokee County, North Carolina",2,0,10,0,1,125
2009,"Chowan County, North Carolina",0,0,169,0,0,72
2009,"Clay County, North Carolina",1,0,1,0,0,52
2009,"Cleveland County, North Carolina",11,1,825,0,14,974
2009,"Columbus County, North Carolina",33,0,375,0,18,398
2009,"Craven County, North Carolina",4,5,626,0,20,543
2009,"Cumberland County, North Carolina",130,8,1836,0,62,760
2009,"Currituck County, North Carolina",3,0,50,0,6,156
2009,"Dare County, North Carolina",3,0,66,0,8,311
2009,"Davidson County, North Carolina",17,14,711,0,74,1494
2009,"Davie County, North Carolina",2,0,94,0,11,292
2009,"Duplin County, North Carolina",2,0,369,0,29,269
2009,"Durham County, North Carolina",0,1,2003,0,113,379
2009,"Edgecombe County, North Carolina",1,0,769,0,16,136
2009,"Forsyth County, North Carolina",27,6,1841,0,175,940
2009,"Franklin County, North Carolina",0,0,247,0,4,134
2009,"Gaston County, North Carolina",13,9,748,0,26,1333
2009,"Gates County, North Carolina",0,0,50,0,0,35
2009,"Graham County, North Carolina",2,0,2,0,2,51
2009,"Granville County, North Carolina",2,0,356,0,9,131
2009,"Greene County, North Carolina",0,1,301,0,10,96
2009,"Guilford County, North Carolina",70,26,3504,0,152,1702
2009,"Halifax County, North Carolina",30,0,648,0,0,198
2009,"Harnett County, North Carolina",14,0,623,0,62,502
2009,"Haywood County, North Carolina",35,1,27,0,8,617
2009,"Henderson County, North Carolina",0,2,175,0,74,771
2009,"Hertford County, North Carolina",0,0,377,0,0,66
2009,"Hoke County, North Carolina",108,0,269,0,41,65
2009,"Hyde County, North Carolina",0,0,42,0,2,23
2009,"Iredell County, North Carolina",12,2,880,0,51,1236
2009,"Jackson County, North Carolina",36,0,18,0,11,195
2009,"Johnston County, North Carolina",3,0,722,0,113,705
2009,"Jones County, North Carolina",0,0,49,0,0,50
2009,"Lee County, North Carolina",2,0,309,0,36,263
2009,"Lenoir County, North Carolina",3,0,1253,0,29,408
2009,"Lincoln County, North Carolina",2,1,186,0,13,733
2009,"Macon County, North Carolina",2,3,14,0,11,254
2009,"Madison County, North Carolina",7,0,10,0,1,226
2009,"Martin County, North Carolina",1,0,248,0,1,85
2009,"Mcdowell County, North Carolina",1,1,60,0,19,657
2009,"Mecklenburg County, North Carolina",9,18,2984,0,185,633
2009,"Mitchell County, North Carolina",1,0,17,0,3,219
2009,"Montgomery County, North Carolina",13,2,222,0,11,189
2009,"Moore County, North Carolina",52,2,771,0,64,680
2009,"Nash County, North Carolina",3,0,882,0,24,364
2009,"New Hanover County, North Carolina",34,5,1757,0,46,2058
2009,"Northampton County, North Carolina",1,0,137,0,0,29
2009,"Onslow County, North Carolina",18,12,661,0,37,727
2009,"Orange County, North Carolina",4,2,475,0,59,375
2009,"Other County, North Carolina",13,0,280,0,8,348
2009,"Pamlico County, North Carolina",2,1,39,0,1,109
2009,"Pasquotank County, North Carolina",0,0,376,0,4,109
2009,"Pender County, North Carolina",7,0,214,0,20,341
2009,"Perquimans County, North Carolina",0,0,42,0,2,43
2009,"Person County, North Carolina",5,0,313,0,5,171
2009,"Pitt County, North Carolina",5,0,1652,0,57,530
2009,"Polk County, North Carolina",0,0,19,0,12,91
2009,"Randolph County, North Carolina",15,3,452,0,100,1098
2009,"Richmond County, North Carolina",16,0,418,0,26,328
2009,"Robeson County, North Carolina",631,2,385,0,22,180
2009,"Rockingham County, North Carolina",9,0,585,0,40,920
2009,"Rowan County, North Carolina",16,3,1289,0,67,2007
2009,"Rutherford County, North Carolina",5,0,415,0,19,1114
2009,"Sampson County, North Carolina",28,0,518,0,70,340
2009,"Scotland County, North Carolina",121,0,384,0,2,201
2009,"Stanly County, North Carolina",5,3,286,0,0,411
2009,"Stokes County, North Carolina",1,0,63,0,21,504
2009,"Surry County, North Carolina",3,0,122,0,35,862
2009,"Swain County, North Carolina",35,0,1,0,1,76
2009,"Transylvania County, North Carolina",0,0,42,0,8,166
