County,Total Population,White Population,Black or African American Population,American Indian and Alaska Native Population,Asian Population,Male Population,Female Population,Hispanic or Latino Population,Median Household Income (Overall),Median Household Income (White Alone),Median Household Income (Black or African American Alone),Median Household Income (American Indian and Alaska Native Alone),Median Household Income (Asian Alone),Median Household Income (Native Hawaiian and Other Pacific Islander Alone),Median Household Income (Some Other Race Alone),Median Household Income (Two or More Races),Median Household Income (Hispanic or Latino),Speak Only English at Home (Population 5 years and over),Speak Spanish at Home (Population 5 years and over),Speak Other Indo-European Languages at Home (Population 5 years and over),Speak Asian and Pacific Island Languages at Home (Population 5 years and over),Speak Other Languages at Home (Population 5 years and over),Year
"Alamance County, North Carolina",144769.0,102264.0,26038.0,417.0,1770.0,69666.0,75103.0,99010.0,44172.0,49418.0,29952.0,42656.0,58000.0,27426.0,31526.0,28107.0,33054.0,119396.0,12844.0,216.0,0.0,93.0,2009
"Alexander County, North Carolina",36278.0,32327.0,2039.0,144.0,415.0,17983.0,18295.0,32036.0,41520.0,43207.0,28214.0,47614.0,38646.0,112768.0,19522.0,37118.0,23977.0,32544.0,1199.0,56.0,0.0,0.0,2009
"Alleghany County, North Carolina",10905.0,9256.0,77.0,9.0,31.0,5445.0,5460.0,8957.0,32541.0,32209.0,42788.0,,,,52538.0,,25188.0,8745.0,1583.0,0.0,0.0,15.0,2009
"Anson County, North Carolina",25243.0,12270.0,12093.0,161.0,245.0,13017.0,12226.0,12244.0,33706.0,42626.0,22949.0,9500.0,34297.0,,,30278.0,22054.0,23125.0,367.0,26.0,0.0,0.0,2009
"Ashe County, North Carolina",25467.0,24304.0,115.0,168.0,117.0,12492.0,12975.0,24105.0,35312.0,36345.0,29309.0,17212.0,21364.0,,30200.0,30000.0,24792.0,22979.0,982.0,19.0,0.0,0.0,2009
"Avery County, North Carolina",17903.0,16427.0,473.0,36.0,85.0,9686.0,8217.0,16043.0,34676.0,35030.0,93000.0,6563.0,12132.0,,21690.0,19097.0,24294.0,16094.0,720.0,30.0,0.0,0.0,2009
"Beaufort County, North Carolina",45993.0,31490.0,12679.0,49.0,95.0,21822.0,24171.0,31031.0,39817.0,50144.0,21811.0,18750.0,250001.0,,24286.0,11492.0,29450.0,41161.0,1510.0,44.0,3.0,3.0,2009
"Bertie County, North Carolina",19187.0,6853.0,11993.0,71.0,21.0,9157.0,10030.0,6788.0,27487.0,40192.0,25250.0,74063.0,46250.0,,,12097.0,10898.0,17708.0,223.0,2.0,0.0,0.0,2009
"Bladen County, North Carolina",32412.0,18580.0,11252.0,772.0,39.0,15741.0,16671.0,17952.0,30823.0,36818.0,19924.0,40851.0,,,31667.0,35329.0,30904.0,28559.0,1517.0,12.0,0.0,19.0,2009
"Brunswick County, North Carolina",98712.0,83237.0,9099.0,1250.0,411.0,47953.0,50759.0,81219.0,44321.0,46149.0,29153.0,39219.0,23906.0,,44028.0,42820.0,31813.0,88735.0,3366.0,178.0,28.0,51.0,2009
"Buncombe County, North Carolina",225869.0,200472.0,15758.0,741.0,2191.0,108243.0,117626.0,194286.0,43750.0,45331.0,27482.0,34432.0,50685.0,4417.0,29388.0,38882.0,33307.0,197695.0,8838.0,730.0,15.0,93.0,2009
"Burke County, North Carolina",88987.0,76054.0,5846.0,321.0,3142.0,44228.0,44759.0,74124.0,36061.0,36467.0,24913.0,11836.0,46987.0,,29292.0,31250.0,26122.0,77129.0,3633.0,77.0,0.0,0.0,2009
"Cabarrus County, North Carolina",161473.0,128796.0,22847.0,564.0,2301.0,79204.0,82269.0,119764.0,54274.0,57519.0,40603.0,46383.0,89674.0,21505.0,42537.0,47931.0,41737.0,135243.0,10408.0,377.0,43.0,87.0,2009
"Caldwell County, North Carolina",79382.0,71337.0,3903.0,195.0,471.0,39061.0,40321.0,70731.0,37308.0,39094.0,19421.0,50391.0,24286.0,,40494.0,11806.0,39583.0,71074.0,2684.0,110.0,0.0,43.0,2009
"Camden County, North Carolina",9375.0,7545.0,1551.0,42.0,121.0,4515.0,4860.0,7466.0,58480.0,58131.0,48661.0,,,,,72000.0,95455.0,8539.0,43.0,34.0,0.0,0.0,2009
"Carteret County, North Carolina",63369.0,56119.0,4342.0,281.0,426.0,31191.0,32178.0,55754.0,46982.0,48919.0,21868.0,16410.0,41250.0,,32083.0,53125.0,50625.0,57380.0,1718.0,257.0,0.0,44.0,2009
"Caswell County, North Carolina",23228.0,14764.0,7930.0,111.0,11.0,11833.0,11395.0,14437.0,36414.0,41322.0,24767.0,2499.0,,,73472.0,205163.0,35227.0,21352.0,685.0,22.0,0.0,0.0,2009
"Catawba County, North Carolina",155157.0,127486.0,12504.0,504.0,4577.0,76481.0,78676.0,122300.0,43303.0,46268.0,25753.0,37798.0,38829.0,,30095.0,21411.0,32372.0,128665.0,11369.0,190.0,12.0,27.0,2009
"Chatham County, North Carolina",61444.0,47216.0,8467.0,250.0,1165.0,30074.0,31370.0,43713.0,55333.0,60241.0,33393.0,41434.0,65736.0,,36307.0,53935.0,32617.0,50142.0,5829.0,177.0,0.0,68.0,2009
"Cherokee County, North Carolina",26203.0,24558.0,148.0,560.0,89.0,12617.0,13586.0,24439.0,37708.0,37730.0,16538.0,102863.0,73750.0,,27009.0,26615.0,27198.0,24046.0,421.0,8.0,0.0,44.0,2009
"Chowan County, North Carolina",14629.0,8961.0,5234.0,138.0,73.0,7100.0,7529.0,8899.0,37825.0,45072.0,21101.0,35813.0,96389.0,,155333.0,,36932.0,13093.0,408.0,34.0,0.0,23.0,2009
"Clay County, North Carolina",10084.0,9703.0,244.0,21.0,0.0,4879.0,5205.0,9657.0,35089.0,35301.0,,,,,24922.0,,24063.0,9388.0,212.0,0.0,0.0,0.0,2009
"Cleveland County, North Carolina",98331.0,75347.0,20126.0,191.0,756.0,47045.0,51286.0,74253.0,37889.0,41013.0,28764.0,60391.0,36528.0,,16563.0,21850.0,20147.0,89168.0,2264.0,150.0,0.0,24.0,2009
"Columbus County, North Carolina",54050.0,33935.0,16467.0,1659.0,125.0,25844.0,28206.0,33497.0,32283.0,41704.0,18227.0,45833.0,38221.0,,52941.0,33125.0,27083.0,48561.0,1454.0,13.0,0.0,0.0,2009
"Craven County, North Carolina",96789.0,68217.0,22562.0,292.0,1291.0,47805.0,48984.0,67235.0,44298.0,52514.0,28082.0,32721.0,25163.0,,25093.0,41875.0,33008.0,83887.0,2918.0,247.0,113.0,145.0,2009
"Cumberland County, North Carolina",309316.0,166537.0,109114.0,3316.0,6468.0,150198.0,159118.0,159170.0,42733.0,49493.0,35090.0,30442.0,43438.0,57083.0,43576.0,34863.0,41563.0,258370.0,13326.0,899.0,29.0,415.0,2009
"Currituck County, North Carolina",23713.0,21322.0,1737.0,29.0,140.0,11672.0,12041.0,20974.0,55261.0,57474.0,47813.0,,44211.0,,,37188.0,60288.0,21312.0,491.0,69.0,53.0,11.0,2009
"Dare County, North Carolina",33976.0,31997.0,1256.0,86.0,90.0,17221.0,16755.0,31060.0,52173.0,53829.0,23056.0,61351.0,23980.0,,24500.0,75888.0,32500.0,29998.0,1174.0,146.0,0.0,46.0,2009
"Davidson County, North Carolina",156033.0,134553.0,14312.0,606.0,1896.0,76644.0,79389.0,129058.0,44016.0,46530.0,25250.0,49345.0,42799.0,,27336.0,40625.0,34258.0,135740.0,7903.0,260.0,0.0,14.0,2009
"Davie County, North Carolina",40297.0,35713.0,2841.0,38.0,161.0,19816.0,20481.0,34463.0,51110.0,53677.0,42788.0,43913.0,49219.0,,40156.0,18229.0,40246.0,35329.0,2187.0,138.0,0.0,29.0,2009
"Duplin County, North Carolina",52358.0,30357.0,13486.0,51.0,102.0,26340.0,26018.0,27454.0,33703.0,39029.0,23090.0,36063.0,75446.0,,28336.0,17375.0,28345.0,39180.0,8905.0,0.0,0.0,4.0,2009
"Durham County, North Carolina",256296.0,124648.0,93581.0,436.0,10775.0,124257.0,132039.0,117384.0,49928.0,62475.0,36898.0,71017.0,62919.0,39766.0,37853.0,37100.0,39908.0,194494.0,26203.0,1603.0,241.0,250.0,2009
"Edgecombe County, North Carolina",52586.0,20955.0,29568.0,164.0,60.0,24579.0,28007.0,20267.0,30734.0,42471.0,25106.0,18110.0,,,44301.0,21250.0,33920.0,46613.0,1751.0,180.0,0.0,0.0,2009
"Forsyth County, North Carolina",346851.0,226502.0,87052.0,1017.0,5069.0,166411.0,180440.0,215325.0,47438.0,54624.0,33502.0,36316.0,64819.0,,30435.0,31029.0,32240.0,283166.0,29583.0,984.0,111.0,283.0,2009
