COUNTY OF CONVICTION,FEMALE,MALE
ALAMANCE,13219,75062
ALEXANDER,1758,12293
ALLEGHANY,693,3370
ANSON,1064,12727
ASHE,1283,7498
AVERY,819,4000
BEAUFORT,3863,26527
BERTIE,824,9016
BLADEN,1649,14119
BRUNSWICK,4039,25970
BUNCOMBE,13371,70895
BURKE,4901,28392
CABARRUS,10474,55781
CALDWELL,4034,25580
CAMDEN,147,1400
CARTERET,3648,21308
CASWELL,694,7449
CATAWBA,7207,43250
CHATHAM,1488,11525
CHEROKEE,945,5619
CHOWAN,780,6220
CLAY,230,1230
CLEVELAND,6355,38305
COLUMBUS,3352,23733
CRAVEN,7016,35537
CUMBERLAND,12848,85026
CURRITUCK,583,4258
DARE,1676,9842
DAVIDSON,8587,56309
DAVIE,1572,10599
DUPLIN,2470,20920
DURHAM,7659,67222
EDGECOMBE,2759,26529
FORSYTH,12829,97030
FRANKLIN,1425,14518
GASTON,8389,56070
GATES,223,2272
GRAHAM,439,1963
GRANVILLE,1336,15865
GREENE,928,9328
GUILFORD,18855,134733
HALIFAX,3177,30632
HARNETT,4050,34628
HAYWOOD,3234,15973
HENDERSON,4777,25776
HERTFORD,1199,12350
HOKE,1981,17988
HYDE,240,2043
IREDELL,11004,60522
JACKSON,1319,6411
JOHNSTON,7530,42890
JONES,373,3134
LEE,4372,27533
LENOIR,5787,39646
LINCOLN,3755,20970
MACON,1306,6511
MADISON,784,4250
MARTIN,1613,12333
MCDOWELL,3905,18307
MECKLENBURG,12281,121333
MITCHELL,967,4536
MONTGOMERY,1976,13810
MOORE,6110,33031
NASH,4614,34938
NEW HANOVER,19883,107052
NORTHAMPTON,659,8033
ONSLOW,7942,39535
ORANGE,2531,22058
OTHER,2351,19685
PAMLICO,677,4460
PASQUOTANK,1817,14420
PENDER,1845,14713
PERQUIMANS,314,3212
PERSON,2017,15745
PITT,8955,65432
POLK,544,3649
RANDOLPH,7103,40514
RICHMOND,2973,23817
ROBESON,6415,52351
ROCKINGHAM,6732,40986
ROWAN,13740,67511
RUTHERFORD,5813,31193
SAMPSON,3456,24306
SCOTLAND,3025,22794
STANLY,2434,16146
STOKES,2264,15379
SURRY,5252,29909
SWAIN,717,3518
TRANSYLVANIA,1211,6472
TYRRELL,217,1937
UNION,3865,32437
VANCE,2377,21135
WAKE,20288,151423
WARREN,358,5325
WASHINGTON,800,5577
WATAUGA,1473,9456
WAYNE,7984,50249
WILKES,7280,35798
WILSON,3968,30805
YADKIN,2504,12249
YANCEY,758,4391
