BIRTH COUNTY,AMERICAN INDIAN/ALASKAN NATIVE,ASIAN/ASIAN AMERICAN,BLACK/AFRICAN AMERICAN,HAWAIIAN/PACIFIC ISLANDER,OTHER,UNKNOWN,WHITE
ALAMANCE,19.0,1.0,2941.0,,21.0,2.0,3039.0
ALEXANDER,2.0,1.0,184.0,,,,374.0
ALLEGHANY,1.0,,25.0,,2.0,,300.0
ANSON,7.0,,1698.0,,1.0,,313.0
ASHE,2.0,,31.0,,3.0,1.0,765.0
AVERY,3.0,1.0,13.0,,2.0,,599.0
BEAUFORT,2.0,,2014.0,,6.0,2.0,1142.0
BERTIE,,,931.0,,,,208.0
BLADEN,28.0,,992.0,,3.0,,552.0
BRUNSWICK,2.0,,536.0,,4.0,,449.0
BUNCOMBE,29.0,3.0,2428.0,,27.0,6.0,5619.0
BURKE,7.0,4.0,537.0,,8.0,1.0,2640.0
CABARRUS,10.0,1.0,2648.0,,29.0,3.0,3906.0
CALDWELL,4.0,,681.0,,2.0,,2286.0
CAMDEN,,,84.0,,,,21.0
CARTERET,12.0,,564.0,,9.0,2.0,1084.0
CASWELL,,,471.0,,,,89.0
CATAWBA,9.0,1.0,1683.0,,17.0,2.0,3615.0
CHATHAM,3.0,,671.0,,7.0,,430.0
CHEROKEE,26.0,1.0,51.0,,1.0,,570.0
CHOWAN,1.0,,973.0,,1.0,1.0,334.0
CLAY,,,7.0,,,,64.0
CLEVELAND,15.0,3.0,3163.0,,8.0,1.0,2999.0
COLUMBUS,88.0,1.0,1711.0,,5.0,,1244.0
CRAVEN,12.0,3.0,2348.0,,6.0,3.0,1613.0
CUMBERLAND,506.0,11.0,6574.0,1.0,73.0,13.0,3763.0
CURRITUCK,1.0,,105.0,,1.0,,38.0
DARE,,,25.0,,1.0,1.0,95.0
DAVIDSON,13.0,6.0,1439.0,,9.0,1.0,3036.0
DAVIE,,,248.0,,,,392.0
DUPLIN,9.0,1.0,1623.0,,21.0,2.0,780.0
